Data	Abelardo Luz	Águas Mornas	Anita Garibaldi	Antônio Carlos	Araranguá	Balneário Arroio do Silva	Balneário Camboriú	Balneário Gaivota	Biguaçu	Blumenau	Botuverá	Braço do Norte	Brusque	Camboriu	Canelinha	Chapecó	Criciúma	Florianópolis	Forquilinha	Gaspar	Governador Celso Ramos	Gravatal	Guabiruba	Içara	Imbituba	Indaial	Irati	Itajaí	Itapema	Itapiranga	Jaguaruna	Jaraguá do Sul	Joaçaba	Joinville	Lages	Laguna	Mafra	Morro da Fumaça	Navegantes	Palhoça	Papanduva	Paulo Lopes	Pedras Grandes	Pescaria Brava	Pomerode	Porto Belo	Rancho Queimado	Sangão	Santa Rosa de Lima	Santo Amaro da Imperatriz	São Bento do Sul	São Domingos	São Francisco do Sul	São José	São Lourenço do Oeste	São Ludgero	São Pedro de Alcântara	Siderópolis	Sombrio	Tangará	Tijucas	Timbé do Sul	Timbó	Tubarão	Urussanga	Videira	Outros
12/03/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13/03/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14/03/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15/03/2020	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16/03/2020	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17/03/2020	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18/03/2020	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
19/03/2020	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
20/03/2020	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	1	3	10	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0
21/03/2020	0	0	0	0	0	0	6	0	0	0	0	6	0	0	0	2	6	10	0	0	0	1	0	0	2	0	0	6	0	0	1	1	0	4	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0
22/03/2020	0	0	0	0	0	0	6	0	0	6	0	7	0	0	0	2	7	10	0	0	0	1	0	0	2	0	0	7	0	0	1	1	0	4	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0	0
